"","year","hum_dist","region","site","pub.site","ppq","Benthic_Morphology","area_2d","percent.coverage","colony.count","year.site.ppq"
"165","2015","Very High","N.Lagoon","27","VH1","2","Macroalgae",0.106008,0.662259764658139,2.2,"2015.27.2"
"166","2015","Very High","N.Lagoon","27","VH1","2","Rubble",14.428111,90.1361915640471,2.2,"2015.27.2"
"167","2015","Very High","N.Lagoon","27","VH1","2","Sand",0.828012,5.1728080168866,2.2,"2015.27.2"
"168","2015","Very High","N.Lagoon","27","VH1","3","Dead_Branching",0.013864,0.0865606910070535,2.2,"2015.27.3"
"169","2015","Very High","N.Lagoon","27","VH1","3","Dead_Massive",0.002309,0.0144163759041609,2.2,"2015.27.3"
"170","2015","Very High","N.Lagoon","27","VH1","3","Live_Branching",0.003986,0.0248868230203488,2.2,"2015.27.3"
"171","2015","Very High","N.Lagoon","27","VH1","3","Live_Encrusting",0.0414,0.258483309845067,2.2,"2015.27.3"
"172","2015","Very High","N.Lagoon","27","VH1","3","Live_FreeLiving",0.00808,0.0504479503272499,2.2,"2015.27.3"
"173","2015","Very High","N.Lagoon","27","VH1","3","Live_Massive",0.026744,0.16697772073663,2.2,"2015.27.3"
"174","2015","Very High","N.Lagoon","27","VH1","3","Live_Porites",0.024196,0.151069134420562,2.2,"2015.27.3"
"175","2015","Very High","N.Lagoon","27","VH1","3","Macroalgae",0.006778,0.0423188375393687,2.2,"2015.27.3"
"176","2015","Very High","N.Lagoon","27","VH1","3","Rubble",15.439916,96.4000142852612,2.2,"2015.27.3"
"177","2015","Very High","N.Lagoon","27","VH1","3","Sand",0.449235,2.80482487193838,2.2,"2015.27.3"
"178","2015","Very High","N.Lagoon","30","VH3","1","Dead_Branching",0.194931,1.21547309957269,2.2,"2015.30.1"
"179","2015","Very High","N.Lagoon","30","VH3","1","Dead_Columnar",0.013348,0.0832301426304504,2.2,"2015.30.1"
"180","2015","Very High","N.Lagoon","30","VH3","1","Dead_Massive",5.328882,33.2277201768684,2.2,"2015.30.1"
"181","2015","Very High","N.Lagoon","30","VH3","1","Live_Branching",0.675431,4.21158364301976,2.2,"2015.30.1"
"182","2015","Very High","N.Lagoon","30","VH3","1","Live_Encrusting",1.8074,11.2698651326248,2.2,"2015.30.1"
"183","2015","Very High","N.Lagoon","30","VH3","1","Live_Enrusting_Columnar",0.049873,0.310978191744715,2.2,"2015.30.1"
"184","2015","Very High","N.Lagoon","30","VH3","1","Live_Foliose",0.07047,0.439408761699718,2.2,"2015.30.1"
"185","2015","Very High","N.Lagoon","30","VH3","1","Live_FreeLiving",0.030646,0.191090122194545,2.2,"2015.30.1"
"186","2015","Very High","N.Lagoon","30","VH3","1","Live_Massive",0.548951,3.42293002900272,2.2,"2015.30.1"
"187","2015","Very High","N.Lagoon","30","VH3","1","Live_Massive_Grooved",0.212088,1.32245388748928,2.2,"2015.30.1"
"188","2015","Very High","N.Lagoon","30","VH3","1","Live_Porites",2.528555,15.7665562855063,2.2,"2015.30.1"
"189","2015","Very High","N.Lagoon","30","VH3","1","Live_SubMassive",0.533305,3.32537093313847,2.2,"2015.30.1"
"190","2015","Very High","N.Lagoon","30","VH3","1","Live_Tabulate",0.213394,1.33059732218177,2.2,"2015.30.1"
