"","year","hum_dist","pub.site","site","ppq","DEM","area_2d","area_3d","rug","vrm","curv","pro.curv","plan.curv","region.kb","island.side","region.3","region.4","region.full","hdist.cont","sqrt.hdist.cont","Dead_Branching","Dead_Columnar","Dead_Foliose","Dead_Massive","Dead_SoftCoral","Dead_Tabulate","Live_Branching","Live_Columnar","Live_Digitate","Live_Encrusting","Live_Encrusting_Columnar","Live_Foliose","Live_FreeLiving","Live_Massive","Live_Massive_Grooved","Live_Porites","Live_SubMassive","Live_Tabulate","Macroalgae","NonCoral_Branching","NonCoral_Encrusting","NonCoral_Massive","NonCoral_SubMassive","Rubble","Sand","SoftCoral_Nodular","SoftCoral_Plating"
"122","2017","Medium","M2","35",3,8,16.00465,20.01004,1.25026,0.0531,26.76145,26.76467,53.52612,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771,8.25211575283431,0,0,30.2945657584174,0,0,0.100291988785679,0,0,1.31960079155982,0,0,0.111507796596649,0.666984458209906,0.0923090090682067,1.44792920329429,0.29660268784264,0,51.497458978539,0,0,0,0,2.55172323671987,3.36891033813214,0,0
"125","2017","Medium","M3","34",1,8,16.00947,18.53905,1.15801,0.03569,-7.38916,71.6109,64.22174,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771,5.95250614357421,0,0,43.3013772308789,0,0,0.668702354033712,0,0,3.09383065929385,0,0,0.247371307740236,4.13026514961857,0,8.08481310177724,1.71626263523288,0,4.84012790857656,0,0,0,0,22.8462412831832,5.1185022260907,0,0
"128","2017","Medium","M3","34",2,8,16.00545,18.21751,1.13821,0.03643,14.03749,40.88011,54.91761,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771,9.5793838625774,0,0,50.6288114516166,0,0.748900593244981,0.165972698939913,0,0,1.68963529972511,0,0,0.175340513825896,5.8691421179955,0.107954698746062,6.79308970019995,1.17943287498489,0,9.18537981368291,0,0,0,0,10.2280363461225,3.64892002833826,0,0
"131","2017","Medium","M3","34",3,8,16.00539,18.18955,1.13646,0.02721,5.7622,20.04608,25.80827,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771,6.73587608211018,0,0,37.7204950854524,0,0,0.0697032509009114,0,0,1.43137124719665,0,0.0874163709327201,0.236110393710318,2.49448323127782,0,5.94970335832886,0.625542956158591,0,41.0952816582828,0,0,0.0496979182274688,0,2.70854591211357,0.795772535307726,0,0
"134","2017","Very Low","VL1","15",1,8,15.97992,21.1672,1.32461,0.06606,-4.33365,64.32564,59.99199,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0,20.1272433765785,0,0,38.1219419237943,0,4.71825293209584,0.101716611738069,0,0,0.201105554949653,0,0,0,0.0194660666287607,0,5.22482743810607,1.128675205581,0,0.0525477427027748,0,0,0,0,30.304223147825,0,0,0
"137","2017","Very Low","VL1","15",2,8,16.00776,21.34706,1.33354,0.06633,-13.95238,55.85606,41.90368,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0,9.68694177740462,0,13.5675469918443,32.0136196004883,0,35.533824882861,0.0967035534463538,0,0,0.495962242210407,0,0,0,0.319916635038768,0,1.41601631832161,0.946939598536401,0,0,0,0,0,0,5.92252839984824,0,0,0
"140","2017","Very Low","VL1","15",3,8,16.00493,21.07889,1.31702,0.07555,5.58298,30.62407,36.20706,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0,49.721277110311,0,20.3669352090251,18.7347327174784,0,2.95137317216668,0.0371734646937366,0.058178034155979,0,0.808519733268208,0,1.1122800447656,0.0265337318578654,0.23473012470729,0,1.56076696292356,3.37241420286253,0,0.971401985038024,0,0,0,0,0.0341308634658627,0.00955264328012155,0,0
"143","2017","Very Low","VL3","19",1,8,16.00482,18.83212,1.17665,0.05259,-17.03112,54.4811,37.44998,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0,13.9116373823052,0,0,72.6344866195205,0,10.9419366448097,0,0,0,0.304807700418217,0,0,0,0,0,0.045923593761764,0.547759131687936,0,0.155396693938617,0,0,0,0,1.43786459662683,0.0201876369311918,0,0
"146","2017","Very Low","VL3","19",2,8,16.00368,19.73879,1.23339,0.05949,-2.12629,76.75354,74.62724,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0,18.7369855616074,0,33.2869898749686,31.8538514889505,0,2.98164439031029,0,0,0,0.315875068865848,0,0,0,0.113561300959559,0,0.0771484353710565,0.551848625626099,0,1.15885844482931,0,0,0,0,10.9232368085114,0,0,0
"149","2017","Very Low","VL3","19",3,8,16.00214,19.95068,1.24675,0.05566,-26.38852,57.29808,30.90956,"BOW","Windward","Windward","Bay of Wrecks","Bay of Wrecks",0,0,14.0328755532661,0,8.94493999887276,13.4887362560028,0,26.1761280143887,0.0623289441548015,0,0,0.527792461218707,0,0.399027578591674,0,0.0675094992968489,0,1.38827018704738,1.44559958340847,0,11.1412332305274,0,0,0,0,22.3255586932243,0,0,0
