,year,pub.site,site,ppq,DEM,vrm,vrm.max,vrm.min,pro.curv,pro.max,pro.min,plan.curv,plan.max,plan.min,year.site.ppq
142,2015,M2,35,3,4,0.07997,0.470549822,0.000946,68.07682,18259.50781,-15604.16211,68.10538,14637.61426,-23058.14648,2015.35.3
143,2015,M3,34,1,4,0.06189,0.377613366,0.001208,108.91739,18651.8457,-23919.15625,97.55779,15899.30957,-21300.99609,2015.34.1
144,2015,M3,34,2,4,0.0584,0.404466271,0.001351,86.97223,15032.77441,-13168.7627,117.77383,12936.52148,-13073.30664,2015.34.2
145,2015,M3,34,3,4,0.05584,0.384351254,0.001511,91.84439,17615.18555,-22897.55859,101.03693,12233.64453,-15426.73828,2015.34.3
146,2015,VL1,15,1,4,0.08712,0.566058874,0.001112,6.37322,34691.21484,-28721.73633,-28.54474,27675.73047,-21336.13867,2015.15.1
147,2015,VL1,15,2,4,0.11756,0.669950485,0.000164,-75.23976,46855.10938,-36636.96484,-82.43415,46244.00781,-44260.94922,2015.15.2
148,2015,VL1,15,3,4,0.11907,0.571916699,0.002978,-6.90203,24262.44336,-23391.76758,-14.13758,16919.85156,-26176.03125,2015.15.3
149,2015,VL3,19,1,4,0.11014,0.551815867,0.001438,38.75873,25108.84375,-26633.61914,31.81716,21997.81445,-27432.4082,2015.19.1
150,2015,VL3,19,2,4,0.07921,0.510542393,0.000615,5.6525,35219.41016,-27034.13672,4.14794,20942.10352,-22263.80664,2015.19.2
151,2015,VL3,5,1,4,0.08979,0.535694599,0.002102,20.90713,24057.63672,-20365.01367,31.01402,16429.12695,-17200.53516,2015.5.1
152,2015,VL3,5,2,4,0.08956,0.690074384,0.001877,-14.80893,38968.05469,-28002.32031,-25.56246,25943.31445,-47455.77344,2015.5.2
153,2015,VL3,5,3,4,0.07043,0.436043262,0.000489,-28.5853,12406.44043,-13915.82129,-11.53293,10374.00684,-13240.82422,2015.5.3
154,2016a,VH1,27,1,4,0.04482,0.449585915,0.000109,126.93345,15871.1748,-15469.5459,128.67196,11694.40625,-12468.1748,2016a.27.1
155,2016a,VH1,27,2,4,0.03456,0.328518927,0.000181,105.25283,12693.43652,-10608.74805,99.07821,9595.03125,-9036.657227,2016a.27.2
156,2016a,VH1,27,3,4,0.0258,0.399010539,0.000083,134.5002,18396.39844,-13648.8877,133.5467,16609.13281,-4963.470703,2016a.27.3
157,2016a,VH2,32,1,4,0.067424978,0.406515121,0.000108,58.14595409,19424.75195,-19679.23633,62.34176455,19397.83789,-17486.7793,2016a.32.1
158,2016a,VH2,32,2,4,0.042263159,0.374589443,0.000509,103.9375524,10247.10742,-8873.998047,100.0943887,8763.482422,-7887.430664,2016a.32.2
159,2016a,VH2,32,3,4,0.036587291,0.258996606,0.000375,93.83307458,10509.99902,-8559.467773,85.54248695,7176.53418,-6290.880859,2016a.32.3
160,2016a,VH3,30,1,4,0.07743,0.615451694,0.001667,112.07547,33535.41797,-35036.79297,129.74256,24918.32227,-29692.11523,2016a.30.1
161,2016a,VH3,30,2,4,0.06457,0.361022711,0.001168,144.77938,18771.18164,-17828.12891,144.77938,10947.90137,-11878.41797,2016a.30.2
162,2016a,VH3,30,3,4,0.063616577,0.388085723,0.000282,135.1208745,16891.08203,-15590.24414,141.2742891,12896.64941,-12096.57715,2016a.30.3
163,2016a,M1,8,1,4,0.04834,0.502584696,0.001449,47.43209,11286.50879,-13900.56445,75.16402,16023.79883,-6544.964355,2016a.8.1
164,2016a,M1,8,2,4,0.06645,0.438973069,0.00137,65.34596,19982.91406,-23552.77148,101.64904,16433.26563,-12680.44238,2016a.8.2
165,2016a,M1,8,3,4,0.05309,0.419463634,0.000609,48.55045,14609.63672,-12889.21387,53.77453,14499.96387,-10695.16895,2016a.8.3
166,2016a,M2,35,1,4,0.054110403,0.327968776,0.001631,48.99212384,19620.05273,-17720.33594,63.33694926,14240.54883,-12382.5459,2016a.35.1
167,2016a,M2,35,2,4,0.063341291,0.469748259,0.000427,88.31406739,20363.44141,-22532.35742,113.9039645,17428.95703,-18957.22461,2016a.35.2
168,2016a,M3,34,1,4,0.054696799,0.337854147,0.000793,124.0001946,14965.27441,-15372.68945,115.4422919,11664.95996,-13591.36426,2016a.34.1
169,2016a,M3,34,2,4,0.054733832,0.369189322,0.001243,91.42315213,16618.58594,-11703.76758,113.3273764,14845.08496,-17068.20898,2016a.34.2
170,2016a,M3,34,3,4,0.05202665,0.311532319,0.000697,83.12843229,22413.8457,-23585.79102,85.84263363,12158.28027,-11623.65332,2016a.34.3
171,2016a,VL1,15,1,4,0.07476,0.559416652,0.000951,32.67559,29396.9375,-29910.4668,13.8589,14757.7998,-23990.15234,2016a.15.1
172,2016a,VL3,5,1,4,0.097,0.613602042,0.001852,66.75938,27652.10742,-23064.76172,70.55392,25038.81641,-36031.64063,2016a.5.1
173,2016a,VL3,5,2,4,0.07879,0.564742446,0.001048,35.12021,23248.28125,-22212.9043,36.94426,22654.33203,-21609.32031,2016a.5.2
174,2016a,VL3,5,3,4,0.0829,0.555880904,0.000533,12.10083,24661.35156,-19901.38281,3.3258,23498.95508,-19462.67969,2016a.5.3
175,2016b,VH1,27,1,4,0.04194,0.369127274,0.000301,106.58177,14788.06641,-12511.75391,103.31529,11747.65918,-9496.493164,2016b.27.1
176,2016b,VH1,27,2,4,0.03503,0.338965416,0.000129,73.36236,15092.14258,-13678.7666,71.01791,9958.791992,-8947.344727,2016b.27.2
177,2016b,VH1,27,3,4,0.02587,0.399802923,0.000225,120.72383,15506.03711,-15361.23828,123.19513,18367.70898,-6973.888184,2016b.27.3
178,2016b,VH2,32,1,4,0.06148,0.435381174,0.000247,83.68258,20913.80078,-18396.97852,91.89335,25819.91211,-19169.08008,2016b.32.1
179,2016b,VH2,32,2,4,0.04653,0.329649806,0.000628,103.67982,9134.617188,-10481.50391,100.32566,12578.83887,-7705.597656,2016b.32.2
180,2016b,VH2,32,3,4,0.03985,0.315117061,0.000422,104.51998,9986.683594,-8033.054199,108.92577,7716.443848,-6709.51416,2016b.32.3
181,2016b,VH3,30,1,4,0.07894,0.731854558,0.001878,165.19721,34849,-33554.69141,166.76142,25405.91016,-24098.59766,2016b.30.1
182,2016b,VH3,30,2,4,0.06595,0.38466537,0.00069,175.30833,21651.11133,-18143.50977,170.64418,15972.14551,-16566.22461,2016b.30.2
183,2016b,VH3,30,3,4,0.06752,0.4424541,0.000676,164.54696,16799.69336,-12837.02637,155.21395,22183.58984,-17516.88281,2016b.30.3
184,2016b,M1,8,1,4,0.06003,0.467562199,0.001285,90.10641,18833.51758,-11276.46484,91.82029,11713.88574,-10368.33203,2016b.8.1
185,2016b,M1,8,2,4,0.06335,0.455478609,0.001351,54.22527,16872.65625,-13349.74512,98.44337,13236.70801,-15293.67578,2016b.8.2
