"","year","pub.site","site","ppq","hum_dist","hdist.cont","sqrt.hdist.cont","island.side","region.3","region.full","DEM","year.site.ppq","area_2d","area_3d","rug","vrm","vrm.range","curv","pro.curv","pro.range","plan.curv","plan.range"
"83","2017","M1","8",1,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2017.8.1",16.00918,27.0783,1.69142,0.04896,0.705036185,23.96221,76.85112,675719.7813,100.81334,595250.3438
"84","2017","M1","8",2,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2017.8.2",16.00633,26.3957,1.64908,0.03515,0.635325669,23.53224,-26.76793,711490.6563,-50.30017,465940.4531
"85","2017","M1","8",3,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2017.8.3",16.01662,24.44879,1.52646,0.03451,0.642025551,5.32557,117.22381,855188.9376,122.54938,465633.9375
"86","2017","M2","35",1,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2017.35.1",16.00533,24.85408,1.55286,0.04088,0.562182979,17.33294,119.59736,522536.2344,136.9303,404768.1562
"87","2017","M2","35",2,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2017.35.2",16.00509,27.13813,1.69559,0.0523,0.591057973,17.12185,244.27292,616592.3125,261.39478,555407.6094
"88","2017","M2","35",3,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2017.35.3",16.00465,30.07905,1.87939,0.05905,0.711966347,24.17648,39.08425,644904.5938,63.26074,565119.9063
"89","2017","M3","34",1,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2017.34.1",16.0096,25.03343,1.56365,0.04137,0.57468637,-12.64641,112.1564,432752.5782,99.51,386191.4063
"90","2017","M3","34",2,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2017.34.2",16.00545,25.48372,1.59219,0.04954,0.561435135,16.52561,102.89498,497461.75,119.42059,323101.5781
"91","2017","M3","34",3,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2017.34.3",16.00554,23.90772,1.49372,0.0407,0.595123896,10.57697,106.05317,640298.2813,116.63014,448328.4531
"92","2017","VL1","15",1,"Very Low",0,0,"Windward","Windward","Bay of Wrecks",1,"2017.15.1",15.97992,33.45057,2.09329,0.06262,0.814488109,19.88904,139.57547,816041.1563,159.46451,640138.0313
"93","2017","VL1","15",2,"Very Low",0,0,"Windward","Windward","Bay of Wrecks",1,"2017.15.2",16.00776,33.78148,2.11032,0.06277,0.7985345,-9.03247,109.241,1029458.0001,100.20853,916802.5313
"94","2017","VL1","15",3,"Very Low",0,0,"Windward","Windward","Bay of Wrecks",1,"2017.15.3",16.00493,40.29302,2.51754,0.08272,0.847449068,5.47032,-34.42839,892324.2501,-28.95806,715174.1876
"95","2017","VL3","19",1,"Very Low",0,0,"Windward","Windward","Bay of Wrecks",1,"2017.19.1",16.00482,29.14894,1.82126,0.05562,0.769008398,-3.07101,20.52698,554361.4376,17.45597,412054.6719
"96","2017","VL3","19",2,"Very Low",0,0,"Windward","Windward","Bay of Wrecks",1,"2017.19.2",16.00368,32.29352,2.01788,0.08233,0.786955415,2.94116,44.81083,703087.2501,47.75199,615807.1875
"97","2017","VL3","19",3,"Very Low",0,0,"Windward","Windward","Bay of Wrecks",1,"2017.19.3",16.00214,31.3072,1.95644,0.07606,0.789212918,-8.95963,134.53407,979979.5938,125.57444,830097.2188
"98","2017","VL3","5",1,"Very Low",0,0,"Leeward","South Shore","Vaskess Bay",1,"2017.5.1",16.0064,30.73891,1.92041,0.04279,0.724276638,-10.00335,99.75357,668937.0313,89.75023,416317.8751
"99","2017","VL3","5",2,"Very Low",0,0,"Leeward","South Shore","Vaskess Bay",1,"2017.5.2",16.02332,26.72448,1.66785,0.04741,0.747653301,-10.70502,2.74082,732441.0938,-7.96421,692092.375
"100","2017","VL3","5",3,"Very Low",0,0,"Leeward","South Shore","Vaskess Bay",1,"2017.5.3",16.01441,27.25503,1.70191,0.04922,0.649055688,8.38089,63.00224,683796.9688,71.38313,583372.4688
"101","2017","VL4","37",1,"Very Low",0,0,"Leeward","South Shore","Vaskess Bay",1,"2017.37.1",16.00379,25.91964,1.61959,0.042,0.702591458,-26.02746,207.29625,918765.5938,181.26879,644002.4688
"102","2017","VL4","37",2,"Very Low",0,0,"Leeward","South Shore","Vaskess Bay",1,"2017.37.2",16.00322,25.43161,1.58916,0.0402,0.732900151,7.07201,182.91322,613443.0626,189.98523,647447.7501
"103","2017","VL4","37",3,"Very Low",0,0,"Leeward","South Shore","Vaskess Bay",1,"2017.37.3",16.00576,30.46148,1.90316,0.04898,0.75314334,-0.67385,157.82688,1246817.8125,157.15303,1288896.1875
"104","2019","VH1","27",1,"Very High",7276,85.2994724485445,"Leeward","Leeward","North Lagoon",1,"2019.27.1",15.99823,25.04808,1.56568,0.0559,0.630180104,7.37452,221.80973,524343.7188,229.18425,297522.75
"105","2019","VH1","27",2,"Very High",7276,85.2994724485445,"Leeward","Leeward","North Lagoon",1,"2019.27.2",16.00581,25.09437,1.56783,0.04897,0.785572108,21.52295,244.96518,524401.5469,266.48813,641051.4375
"106","2019","VH1","27",3,"Very High",7276,85.2994724485445,"Leeward","Leeward","North Lagoon",1,"2019.27.3",16.00729,21.46642,1.34104,0.03956,0.616792959,-0.88431,383.45155,311960,382.56725,229593.1015
"107","2019","VH2","32",1,"Very High",4860.7457,69.7190483297069,"Leeward","Leeward","Mid Lagoon",1,"2019.32.1",16.01162,30.36501,1.89644,0.06962,0.722958132,12.31658,6.96363,776202.5,19.28021,538782.7969
"108","2019","VH2","32",2,"Very High",4860.7457,69.7190483297069,"Leeward","Leeward","Mid Lagoon",1,"2019.32.2",16.01488,25.40271,1.58619,0.0572,0.705684,14.1018,350.78267,439364.3594,364.88447,485032.6562
"109","2019","VH2","32",3,"Very High",4860.7457,69.7190483297069,"Leeward","Leeward","Mid Lagoon",1,"2019.32.3",16.00661,25.73142,1.60755,0.05389,0.776802841,8.0252,164.82042,598213.4375,172.84561,562481.1719
"110","2019","VH3","30",1,"Very High",5085.68478,71.3139872675761,"Leeward","Leeward","North Lagoon",1,"2019.30.1",16.00415,28.58532,1.78612,0.04828,0.766896039,20.5435,361.38339,904134.2188,381.92689,911566.5313
"111","2019","VH3","30",2,"Very High",5085.68478,71.3139872675761,"Leeward","Leeward","North Lagoon",1,"2019.30.2",15.99712,26.53789,1.65892,0.0628,0.753118544,2.89791,450.93306,640000.0313,453.83096,651481.2969
"112","2019","VH3","30",3,"Very High",5085.68478,71.3139872675761,"Leeward","Leeward","North Lagoon",1,"2019.30.3",16.01165,29.73723,1.85722,0.07077,0.81116904,-5.53521,256.98639,754245,251.45118,789399.9063
"113","2019","M1","8",1,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2019.8.1",16.01205,27.35463,1.70838,0.05554,0.76327767,25.39155,132.95338,493949.9532,158.34493,934249.2501
"114","2019","M1","8",2,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2019.8.2",15.9991,26.53835,1.65874,0.07157,0.7345836,39.30504,-70.47534,700305.75,-31.1703,539584.1407
"115","2019","M1","8",3,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2019.8.3",16.01658,25.93679,1.61937,0.04052,0.683446541,0.02482,155.04336,562837.4688,155.06818,353153.6094
"116","2019","M2","35",1,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2019.35.1",16.00657,26.60769,1.6623,0.05431,0.763024863,1.60496,136.47952,1352873.0625,138.08448,1075460.6719
"117","2019","M2","35",2,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2019.35.2",16.00755,30.49906,1.90529,0.06807,0.828074954,10.09763,231.47278,806478.75,241.57041,907811.8125
"118","2019","M2","35",3,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2019.35.3",16.00397,34.47717,2.15429,0.07997,0.771827967,36.10453,63.95583,1235842.375,100.06036,1471700
"119","2019","M3","34",1,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2019.34.1",16.00771,28.7114,1.7936,0.06343,0.765188808,-9.41942,232.28089,739268.8125,222.86147,614203.9063
"120","2019","M3","34",2,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2019.34.2",16.00646,28.05779,1.7529,0.0631,0.832826253,18.53515,203.95548,940938.875,222.49062,895630.0625
