"","year","pub.site","site","ppq","DEM","year.site.ppq","vrm.range","pro.range","plan.range"
"196","2016b","VL3",19,1,4,"2016b.19.1",0.534422364,38119.23828,36549.77832
"197","2016b","VL3",19,2,4,"2016b.19.2",0.430672977,31936.208,27263.72071
"198","2016b","VL3",5,1,4,"2016b.5.1",0.559417728,39649.57617,45272.86914
"199","2016b","VL3",5,2,4,"2016b.5.2",0.484142601,29456.92676,30989.20606
"200","2016b","VL3",5,3,4,"2016b.5.3",0.465165346,45072.21484,40727.87109
"201","2017","VH1",27,1,4,"2017.27.1",0.337770012,33951.31641,26472.7334
"202","2017","VH1",27,2,4,"2017.27.2",0.399893885,28025.18164,23524.96582
"203","2017","VH1",27,3,4,"2017.27.3",0.472588546,37878.46484,36341.09082
"204","2017","VH2",32,1,4,"2017.32.1",0.361405932,40345.39648,27575.48633
"205","2017","VH2",32,2,4,"2017.32.2",0.38919882,21312.73828,16109.137696
"206","2017","VH2",32,3,4,"2017.32.3",0.333253126,23348.77051,18120.530274
"207","2017","VH3",30,1,4,"2017.30.1",0.583562943,58356.58398,44290.7168
"208","2017","VH3",30,2,4,"2017.30.2",0.426089638,42688.98828,34332.2832
"209","2017","VH3",30,3,4,"2017.30.3",0.446282381,45510.43359,34666.09864
"210","2017","M1",8,1,4,"2017.8.1",0.421789952,30635.94531,29274.28711
"211","2017","M1",8,2,4,"2017.8.2",0.58290449,44274.51172,31431.22754
"212","2017","M1",8,3,4,"2017.8.3",0.522282378,44616.27929,25453.91894
"213","2017","M2",35,1,4,"2017.35.1",0.377226781,27378.10645,22119.917
"214","2017","M2",35,2,4,"2017.35.2",0.372720585,35050.7666,50168.51758
"215","2017","M2",35,3,4,"2017.35.3",0.479194585,35554.75586,27454.08985
"216","2017","M3",34,1,4,"2017.34.1",0.329197368,30469.29297,21426.171871
"217","2017","M3",34,2,4,"2017.34.2",0.335572851,21791.751951,18916.562502
"218","2017","M3",34,3,4,"2017.34.3",0.289129761,36771.0625,23997.879394
"219","2017","VL1",15,1,4,"2017.15.1",0.467043257,36773.02149,35936.24316
"220","2017","VL1",15,2,4,"2017.15.2",0.549008187,55832.4375,48357.21875
"221","2017","VL1",15,3,4,"2017.15.3",0.610578639,60257.62304,43612.14843
"222","2017","VL3",19,1,4,"2017.19.1",0.467777933,30213.93652,30209.69922
"223","2017","VL3",19,2,4,"2017.19.2",0.438509289,38145.57031,31814.5166
"224","2017","VL3",19,3,4,"2017.19.3",0.565337848,72281.39844,48379.54297
"225","2017","VL3",5,1,4,"2017.5.1",0.581420265,32833.5,27537.23633
"226","2017","VL3",5,2,4,"2017.5.2",0.585922743,40354.31055,31198.3877
"227","2017","VL3",5,3,4,"2017.5.3",0.484974685,34665.48926,37790.30664
"228","2017","VL4",37,1,4,"2017.37.1",0.415860022,64345.9961,44150.99609
"229","2017","VL4",37,2,4,"2017.37.2",0.516637613,25159.01563,19196.771482
"230","2017","VL4",37,3,4,"2017.37.3",0.470357276,62004.59961,56791.25977
"231","2019","VH1",27,1,4,"2019.27.1",0.358652944,28339.77929,22810.234373
"232","2019","VH1",27,2,4,"2019.27.2",0.327954549,23019.90332,21948.3125
"233","2019","VH1",27,3,4,"2019.27.3",0.363244546,22337.44922,14810.794925
"234","2019","VH2",32,1,4,"2019.32.1",0.475048553,39431.92969,33866.6543
"235","2019","VH2",32,2,4,"2019.32.2",0.435182714,27187.04004,25768.9248
"236","2019","VH2",32,3,4,"2019.32.3",0.625623842,41453.20508,42835.17774
"237","2019","VH3",30,1,4,"2019.30.1",0.492804503,44108.02344,40142.26757
"238","2019","VH3",30,2,4,"2019.30.2",0.389069955,34836.0293,26337.41015
"239","2019","VH3",30,3,4,"2019.30.3",0.483838833,41445.91601,37029.13672
"240","2019","M1",8,1,4,"2019.8.1",0.495043786,33104.57618,26737.76563
"241","2019","M1",8,2,4,"2019.8.2",0.59398313,36002.83203,33033.63184
"242","2019","M1",8,3,4,"2019.8.3",0.452833507,41716.61133,26701.09473
"243","2019","M2",35,1,4,"2019.35.1",0.431586322,30908.85743,29585.74219
"244","2019","M2",35,2,4,"2019.35.2",0.5105241,36806.19336,42208.27735
"245","2019","M2",35,3,4,"2019.35.3",0.541098214,53178.30469,49198.64453
"246","2019","M3",34,1,4,"2019.34.1",0.422193156,45822.19922,37194.1211
"247","2019","M3",34,2,4,"2019.34.2",0.440913086,31700.58985,35446.38867
"248","2019","M3",34,3,4,"2019.34.3",0.39152777,49136.58398,35380.91015
"249","2019","VL3",5,1,4,"2019.5.1",0.622919676,61306.18945,45126.59375
"250","2019","VL3",5,2,4,"2019.5.2",0.524776074,46364.4336,47909.80469
"251","2019","VL3",5,3,4,"2019.5.3",0.504581366,27010.15039,30190.77246
"252","2019","VL4",37,1,4,"2019.37.1",0.520697354,51712.9043,47408.30273
"253","2019","VL4",37,2,4,"2019.37.2",0.592134847,46292.23633,45634.22461
"254","2019","VL4",37,3,4,"2019.37.3",0.50916093,49965.3711,45034.51758
"255","2015","VH1",27,1,8,"2015.27.1",0.282498801,11580.552734,9128.852539
"256","2015","VH1",27,2,8,"2015.27.2",0.248424449,9755.793946,6628.253174
"257","2015","VH1",27,3,8,"2015.27.3",0.303114852,7462.227051,7684.190185
"258","2015","VH2",32,1,8,"2015.32.1",0.27729699,8144.606689,5975.58667
"259","2015","VH2",32,2,8,"2015.32.2",0.216242571,6817.579345,5513.583496
"260","2015","VH2",32,3,8,"2015.32.3",0.167611164,5139.632324,5090.741944
"261","2015","VH3",30,1,8,"2015.30.1",0.479462873,19097.96631,16893.869141
"262","2015","VH3",30,2,8,"2015.30.2",0.363439884,15244.947754,13442.880371
"263","2015","VH3",30,3,8,"2015.30.3",0.324961083,12278.803223,10337.001953
"264","2015","M1",8,1,8,"2015.8.1",0.35290372,8972.423828,8530.496093
"265","2015","M1",8,2,8,"2015.8.2",0.315519736,13330.116699,8640.227539
"266","2015","M1",8,3,8,"2015.8.3",0.336552105,9259.359375,5871.707032
"267","2015","M2",35,1,8,"2015.35.1",0.259686115,9881.904297,8338.081543
"268","2015","M2",35,2,8,"2015.35.2",0.325816359,10960.778321,10778.140137
"269","2015","M2",35,3,8,"2015.35.3",0.373483633,9577.621582,9370.699463
"270","2015","M3",34,1,8,"2015.34.1",0.374629947,8061.878174,9635.158936
"271","2015","M3",34,2,8,"2015.34.2",0.389267061,6314.073486,7070.60083
"272","2015","M3",34,3,8,"2015.34.3",0.260898773,9964.124023,6458.566651
"273","2015","VL1",15,1,8,"2015.15.1",0.349077116,13039.393555,10789.148438
"274","2015","VL1",15,2,8,"2015.15.2",0.419979476,17004.801758,17857.541993
"275","2015","VL1",15,3,8,"2015.15.3",0.392326347,11409.742187,10219.577636
"276","2015","VL3",19,1,8,"2015.19.1",0.412695316,13362.036621,10553.680176
"277","2015","VL3",19,2,8,"2015.19.2",0.392254218,9760.20459,8074.439453
"278","2015","VL3",5,1,8,"2015.5.1",0.329956625,10750.691407,8160.598389
"279","2015","VL3",5,2,8,"2015.5.2",0.398922451,17076.746094,21200.765629
"280","2015","VL3",5,3,8,"2015.5.3",0.242218904,7310.810791,6758.907714
"281","2016a","VH1",27,1,8,"2016a.27.1",0.209355851,6866.974122,6667.020263
"282","2016a","VH1",27,2,8,"2016a.27.2",0.192201989,6575.611573,6032.277099
"283","2016a","VH1",27,3,8,"2016a.27.3",0.225449938,4820.233642,3981.899292
