"","year","hum_dist","region","site","site.ppq","year.site.ppq","Dead_Branching","Dead_Columnar","Dead_Foliose","Dead_Massive","Dead_SoftCoral","Dead_Tabulate","Live_Branching","Live_Columnar","Live_Digitate","Live_Encrusting","Live_Encrusting_Columnar","Live_Foliose","Live_FreeLiving","Live_Massive","Live_Massive_Grooved","Live_Porites","Live_SubMassive","Live_Tabulate","Macroalgae","NonCoral_Branching","NonCoral_Encrusting","NonCoral_Massive","NonCoral_SubMassive","Rubble","Sand","SoftCoral_Nodular","SoftCoral_Plating"
"22","2015","Very Low","BOW","19","19.1","2015.19.1",0.208891566846244,0,0.00253856777214263,0.422953933870894,0,0.043145529597587,0.193745014498336,0,0,0.0306115894457266,0,0.0172608486953123,0.000171958020748185,0.00118696023333304,0,0.0206701414017303,0.0435174388052517,0.0124181559176866,5.33619730083393e-05,0,0.000797367842575431,0,0.00123376130802068,0.000803803771404306,0,0,0
"23","2015","Very Low","BOW","19","19.2","2015.19.2",0.0747379748818722,0,0.0203677160165735,0.260417970763737,0,0.00273526161030593,0.0997477766941017,0,0,0.00960365194658119,0,0.45166525855419,0,0.00133477068257346,0.00113517355017516,0.0136883650927043,0.0320025108632067,0.0255705479344227,0.00699302140955682,0,0,0,0,0,0,0,0
"24","2015","Very Low","Vaskes","5","5.1","2015.5.1",0.0597292156777736,0,0.00218817191471009,0.259279599355949,0,0,0.0742650317421427,0.000480089678378023,0.000444668618177588,0.194985439882714,0,0.0933844079616548,0.00375038435286223,0.0601278431647911,0.0355684293027499,0.0434105395833159,0.0454255418703794,0,0.00223671188609587,0,0,0.000571234875613356,0,0,0,0.124152690132692,0
"25","2015","Very Low","Vaskes","5","5.2","2015.5.2",0.00974029094553868,0,0.000450292175026665,0.164428416026282,0.000563255284770014,0,0.0207882703101118,0,0.000996509377498373,0.0447648463795323,0,0.0295585139546887,0.00921747770226794,0.0515503718733091,0.00307209730055614,0.165154750098765,0.0422549433842624,0,0.0276149243615244,0,0,0.000304875575191304,0,0.190119285299256,0.002970492912345,0.100962558034018,0.135487829005057
"26","2015","Very Low","Vaskes","5","5.3","2015.5.3",0.0191970553497375,0,0.00588165843987455,0.162003340165632,0,0,0.0518087173590402,0,0,0.0497746365311277,0.00459055811634088,0.1403713066923,0.0145745927764438,0.0836768993812721,0.119511348590157,0.0697976489474557,0.0698635806628023,0,0.0249186920221563,0,0,0,0.00791386620769202,0.00674957205259478,0,0.169366526705373,0
"27","2017","Very High","N.Lagoon","27","27.1","2017.27.1",0,0,0,0.198332958416903,0,0,0.000184385129658061,0,0,0.000328205530791348,0,0,0.00314273515401252,0.000161758886628834,0,0.000532779269561122,0.000395584232408768,0,0.0278650308351315,0,0,0,0,0.648464875039072,0.120591687505832,0,0
"28","2017","Very High","N.Lagoon","27","27.2","2017.27.2",0,0,0,0.190566852932016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000385880738734185,0,0,0,0,0.725106896649754,0.0839403696794959,0,0
"29","2017","Very High","N.Lagoon","27","27.3","2017.27.3",0.0020109085243104,0,0,0.174418934465262,0,0,0,0,0,0,0,0,0,0.000175119663020537,0,0,0,0,0,0,0,0,0,0.774913942711442,0.0484810946359654,0,0
"30","2017","Very High","N.Lagoon","30","30.1","2017.30.1",0.0217533749753173,0,0,0.456351464843018,0,0,0.000298567525751293,0,0,0.00349145289531765,0,0,0.00194400077984988,0.00331848619140815,0,0.0729454579993351,0.00481569797813921,0,0.0395301404479638,0,0,0,0,0.309115932682959,0.0864354236809414,0,0
"31","2017","Very High","N.Lagoon","30","30.2","2017.30.2",0.0336209859733188,0,0,0.2606859727504,0,0,0.000681149425445307,0,0,0.00344160038446685,0,0,0,0.00322922917433259,0,0.00751244417213736,0.00764936114055333,0,0.0119042807977137,0,0,0,0,0.671274976181632,0,0,0
