"","year","pub.site","site","ppq","hum_dist","hdist.cont","sqrt.hdist.cont","island.side","region.3","DEM","year.site.ppq","area_2d","area_3d","rug","vrm","vrm.range","curv","pro.curv","pro.range.log","plan.curv","plan.range.log"
"184","2016b","M1","8",1,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward",4,"2016b.8.1",16.01289,22.1689,1.38444,0.06003,0.466277199,1.71387,90.10641,10.3126120376164,91.82029,10.0025279378289
"185","2016b","M1","8",2,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward",4,"2016b.8.2",16.00826,22.96511,1.43458,0.06335,0.454127609,44.21811,54.22527,10.3163386956082,98.44337,10.2587248962727
"186","2016b","M1","8",3,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward",4,"2016b.8.3",16.01748,22.59759,1.41081,0.05465,0.427991921,8.55741,37.55116,10.3464577227815,46.10856,10.0585396536754
"187","2016b","M2","35",1,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward",4,"2016b.35.1",16.00581,21.15841,1.32192,0.05187,0.325977991,20.03932,63.70462,10.0864623788198,83.74393,9.83554187967025
"188","2016b","M2","35",2,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward",4,"2016b.35.2",16.00442,22.75343,1.4217,0.05968,0.380333858,27.3919,71.5332,10.3386208695221,98.9251,9.85710615720728
"189","2016b","M2","35",3,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward",4,"2016b.35.3",16.00582,24.80828,1.54995,0.07453,0.481089153,12.28333,61.82729,10.9131247475663,74.11062,10.5652229235765
"190","2016b","M3","34",1,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward",4,"2016b.34.1",16.00776,21.84488,1.36464,0.05625,0.45771155,-3.32374,113.00083,10.5915299289763,95.13082,10.4657317189708
"191","2016b","M3","34",2,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward",4,"2016b.34.2",16.0048,21.29631,1.33062,0.0518,0.331038209,22.64778,66.60504,10.0929084426556,89.25281,10.1004938096969
"192","2016b","M3","34",3,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward",4,"2016b.34.3",16.00619,21.33554,1.33296,0.04461,0.357991148,11.22435,46.24166,10.3714953254475,57.46602,9.9953099898679
"193","2016b","VL1","15",1,"Very Low",0,0,"Windward","Windward",4,"2016b.15.1",15.97978,24.87036,1.55637,0.07809,0.509349492,-18.77422,103.75643,11.0359653515582,84.98221,10.614341828062
"194","2016b","VL1","15",2,"Very Low",0,0,"Windward","Windward",4,"2016b.15.2",16.00753,28.16022,1.75919,0.0918,0.648215894,11.75085,13.1016,11.18646022526,24.85245,11.324450774175
"195","2016b","VL1","15",3,"Very Low",0,0,"Windward","Windward",4,"2016b.15.3",16.00741,29.77704,1.8602,0.11876,0.616222261,-13.09027,22.16146,10.8767761904362,9.07119,10.9284006695828
"196","2016b","VL3","19",1,"Very Low",0,0,"Windward","Windward",4,"2016b.19.1",16.00101,23.01497,1.43834,0.07401,0.534422364,-3.83769,40.22893,10.5484743754069,36.39124,10.5064304000433
