KI Date,Site,Observer,Transect,Species Code,Species,Size (cm),Number,"Sexual Phase (TP, IP, juv)",Time,Depth,Slope,Note
05_07_2015,10,SC,2,,Plectroglyphidodon dickii,6,4,,15:45,33,3,
05_07_2015,10,SC,2,,Plectroglyphidodon johnstonianus,5,1,,15:45,33,3,
05_07_2015,10,SC,2,,Stegastes aureus,7,3,,15:45,33,3,
05_07_2015,10,SC,2,,Gomphosus varius,4,1,,15:45,33,3,
05_07_2015,10,SC,2,,Gomphosus varius,8,1,,15:45,33,3,
05_07_2015,10,SC,2,,Halichoeres ornatissimus,4,3,,15:45,33,3,
05_07_2015,10,SC,2,,Halichoeres ornatissimus,3,1,,15:45,33,3,
05_07_2015,10,SC,2,,Labroides dimidiatus,5,1,,15:45,33,3,
05_07_2015,10,SC,2,,Labroides dimidiatus,2,1,,15:45,33,3,
05_07_2015,10,SC,2,,Labroides rubrolabiatus,7,1,,15:45,33,3,
05_07_2015,10,SC,2,,Pseudocheilinus hexataenia,4,1,,15:45,33,3,
05_07_2015,10,SC,2,,Pseudocheilinus octotaenia,5,3,,15:45,33,3,
05_07_2015,10,SC,2,,Pseudocheilinus octotaenia,4,1,,15:45,33,3,
05_07_2015,10,SC,2,,Thalassoma amblycephalum,4,10,,15:45,33,3,
05_07_2015,10,SC,2,,Thalassoma amblycephalum,6,4,,15:45,33,3,
05_07_2015,10,SC,2,,Chlorurus sordidus,22,2,IP,15:45,33,3,
05_07_2015,10,SC,2,,Acanthurus nigricans,13,1,,15:45,33,3,
05_07_2015,10,SC,2,,Acanthurus nigricans,10,1,,15:45,33,3,
05_07_2015,10,SC,2,,Ctenochaetus marginatus,12,3,,15:45,33,3,
05_07_2015,10,SC,2,,Ctenochaetus marginatus,15,1,,15:45,33,3,
05_07_2015,10,SC,2,,Ctenochaetus marginatus,8,1,,15:45,33,3,
05_07_2015,10,SC,2,,Melichthys vidua,22,1,,15:45,33,3,
05_07_2015,10,SC,2,,Cantherhines dumerilii,24,1,,15:45,33,3,
05_07_2015,10,SC,3,,Myripristis murdjan,20,3,,16:00,33,3,
05_07_2015,10,SC,3,,Myripristis murdjan,16,4,,16:00,33,3,
05_07_2015,10,SC,3,,Cephalopholis argus,32,2,,16:00,33,3,
05_07_2015,10,SC,3,,Cephalopholis argus,38,1,,16:00,33,3,
05_07_2015,10,SC,3,,Cephalopholis urodeta,18,1,,16:00,33,3,
05_07_2015,10,SC,3,,Epinephelus hexagonatus,22,1,,16:00,33,3,
05_07_2015,10,SC,3,,Neoniphon sammara,18,1,,16:00,33,3,
05_07_2015,10,SC,3,,Pseudanthias olivaceus,4,20,,16:00,33,3,
05_07_2015,10,SC,3,,Pseudanthias olivaceus,3,30,,16:00,33,3,
05_07_2015,10,SC,3,,Paracirrhites arcatus,8,2,,16:00,33,3,
05_07_2015,10,SC,3,,Paracirrhites hemistictus,22,1,,16:00,33,3,
05_07_2015,10,SC,3,,Pempheris oualensis,18,6,,16:00,33,3,
05_07_2015,10,SC,3,,Lutjanus fulvus,22,1,,16:00,33,3,
05_07_2015,10,SC,3,,Aphareus furca,20,1,,16:00,33,3,
