KI Date,Site,Observer,Transect,Species Code,Species,Size (cm),Number,"Sexual Phase (TP, IP, juv)",Time,Depth (m),Slope,Note,,KI Date,Site,Observer,Transect,Species Code,Species,Size (cm),Number,"Sexual Phase (TP, IP, juv)",Time,Depth,Slope,Note
2019-07-19,3,SD,3,,Thalassoma amblycephalum,10,2,,1027,7.4,2,,,,,,,,,,,,,,,
2019-07-19,3,SD,3,,Thalassoma quinquevittatum,12,2,,1027,7.4,2,,,,,,,,,,,,,,,
2019-07-19,3,SD,3,,Thalassoma quinquevittatum,14,1,,1027,7.4,2,,,,,,,,,,,,,,,
2019-07-19,3,SD,3,,Chlorurus sordidus,26,1,IP,1027,7.4,2,,,,,,,,,,,,,,,
2019-07-19,3,SD,3,,Scarus rubroviolaceus,35,1,IP,1027,7.4,2,,,,,,,,,,,,,,,
2019-07-19,3,SD,3,,Scarus tricolor,26,2,TP,1027,7.4,2,,,,,,,,,,,,,,,
2019-07-19,3,SD,3,,Acanthurus lineatus,24,3,,1027,7.4,2,,,,,,,,,,,,,,,
2019-07-19,3,SD,3,,Acanthurus nigricans,20,1,,1027,7.4,2,,,,,,,,,,,,,,,
2019-07-19,3,SD,3,,Acanthurus nigricans,15,1,,1027,7.4,2,,,,,,,,,,,,,,,
2019-07-19,3,SD,3,,Ctenochaetus marginatus,20,1,,1027,7.4,2,,,,,,,,,,,,,,,
2019-07-19,3,SD,3,,Ctenochaetus marginatus,19,1,,1027,7.4,2,,,,,,,,,,,,,,,
2019-07-19,3,SD,3,,Ctenochaetus marginatus,18,1,,1027,7.4,2,,,,,,,,,,,,,,,
2019-07-19,3,SD,3,,Melichthys vidua,20,1,,1027,7.4,2,,,,,,,,,,,,,,,
2019-07-19,3,SD,3,,Melichthys vidua,24,1,,1027,7.4,2,,,,,,,,,,,,,,,
2019-07-19,3,SD,3,,Parupeneus insularis,21,1,,1027,7.4,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Cephalopholis urodeta,14,2,,1533,9.9,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,1,,Cephalopholis urodeta,12,2,,1533,9.9,2,,,,,,,,,,,,,,,
