KI Date,Site,Observer,Transect,Species Code,Species,Size (cm),Number,"Sexual Phase (TP, IP, juv)",Time,Depth,Slope,Note
5_07_2015,10,SD,3,,Chromis margaritifer,3,10,,16:00,36,4,
5_07_2015,10,SD,3,,Chromis margaritifer,5,10,,16:00,36,4,
5_07_2015,10,SD,3,,Chromis margaritifer,6,13,,16:00,36,4,
5_07_2015,10,SD,3,,Chromis margaritifer,4,15,,16:00,36,4,
5_07_2015,10,SD,3,,Plectroglyphidodon dickii,9,1,,16:00,36,4,
5_07_2015,10,SD,3,,Plectroglyphidodon dickii,5,1,,16:00,36,4,
5_07_2015,10,SD,3,,Plectroglyphidodon johnstonianus,6,2,,16:00,36,4,
5_07_2015,10,SD,3,,Gomphosus varius,4,1,IP,16:00,36,4,
5_07_2015,10,SD,3,,Labroides dimidiatus,3,1,,16:00,36,4,
5_07_2015,10,SD,3,,Labroides rubrolabiatus,5,1,,16:00,36,4,
5_07_2015,10,SD,3,,Pseudocheilinus octotaenia,9,1,,16:00,36,4,
5_07_2015,10,SD,3,,Pseudocheilinus octotaenia,8,1,,16:00,36,4,
5_07_2015,10,SD,3,,Pseudocheilinus tetrataenia,3,1,,16:00,36,4,
5_07_2015,10,SD,3,,Pseudocheilinus tetrataenia,5,1,,16:00,36,4,
5_07_2015,10,SD,3,,Scarus frenatus,22,1,IP,16:00,36,4,
5_07_2015,10,SD,3,,Acanthurus nigrofuscus,8,1,,16:00,36,4,
5_07_2015,10,SD,3,,Ctenochaetus flavicauda,4,1,,16:00,36,4,
5_07_2015,10,SD,3,,Ctenochaetus striatus,8,1,,16:00,36,4,
5_07_2015,10,SD,3,,Ctenochaetus striatus,9,1,,16:00,36,4,
5_07_2015,10,SD,3,,Ctenochaetus striatus,7,1,,16:00,36,4,
 06_07_2015,19,SD,1,,Cephalopholis urodeta,17,1,,10:15,37,2,
06_07_2015,19,SD,1,,Paracirrhites arcatus,8,1,,10:15,37,2,
 06_07_2015,19,SD,1,,Aphareus furca,21,6,,10:15,37,2,
 06_07_2015,19,SD,1,,Chromis margaritifer,5,1,,10:15,37,2,
 06_07_2015,19,SD,1,,Chromis margaritifer,6,1,,10:15,37,2,
 06_07_2015,19,SD,1,,Chromis margaritifer,3,5,,10:15,37,2,
 06_07_2015,19,SD,1,,Chromis margaritifer,4,6,,10:15,37,2,
 06_07_2015,19,SD,1,,Chromis vanderbilti,5,8,,10:15,37,2,
 06_07_2015,19,SD,1,,Chromis vanderbilti,4,4,,10:15,37,2,
 06_07_2015,19,SD,1,,Chromis vanderbilti,3,1,,10:15,37,2,
 06_07_2015,19,SD,1,,Plectroglyphidodon dickii,5,4,,10:15,37,2,
 06_07_2015,19,SD,1,,Plectroglyphidodon dickii,10,2,,10:15,37,2,
 06_07_2015,19,SD,1,,Plectroglyphidodon dickii,9,3,,10:15,37,2,
 06_07_2015,19,SD,1,,Plectroglyphidodon dickii,6,1,,10:15,37,2,
 06_07_2015,19,SD,1,,Stegastes aureus,7,1,,10:15,37,2,
 06_07_2015,19,SD,1,,Stegastes fasciolatus,7,2,,10:15,37,2,
 06_07_2015,19,SD,1,,Stegastes fasciolatus,10,1,,10:15,37,2,
 06_07_2015,19,SD,1,,Labroides rubrolabiatus,7,1,,10:15,37,2,
 06_07_2015,19,SD,1,,Pseudocheilinus hexataenia,7,1,,10:15,37,2,
 06_07_2015,19,SD,1,,Pseudocheilinus hexataenia,4,2,,10:15,37,2,
 06_07_2015,19,SD,1,,Acanthurus lineatus,22,1,,10:15,37,2,
 06_07_2015,19,SD,1,,Acanthurus nigricans,14,1,,10:15,37,2,
 06_07_2015,19,SD,2,,Cephalopholis urodeta,17,1,,10:24,37,2,
 06_07_2015,19,SD,2,,Cephalopholis urodeta,19,1,,10:24,37,2,
 06_07_2015,19,SD,2,,Aphareus furca,21,4,,10:24,37,2,
 06_07_2015,19,SD,2,,Thalassoma lutescens,3,1,Juv.,10:24,37,2,
 06_07_2015,19,SD,2,,Chromis margaritifer,7,4,,10:24,37,2,
 06_07_2015,19,SD,2,,Chromis margaritifer,5,5,,10:24,37,2,
